,lat,lon,fecha_inicio,tipo_de_incendio,tipo_impacto,causa,year
60,20.61777777777778,-103.46638888888889,2011-04-01,Superficial,Nan,Fumadores,2011
61,20.618166666666667,-103.52519444444444,2011-04-05,Superficial,Nan,Fumadores,2011
62,20.721,-103.49316666666667,2011-04-09,Superficial,Nan,Fumadores,2011
63,20.71775,-103.49061111111111,2011-04-09,Superficial,Nan,Quema De Basureros,2011
64,20.597083333333334,-103.45125,2011-04-19,Superficial,Nan,Fumadores,2011
65,20.73086111111111,-103.59305555555555,2011-04-23,Superficial,Nan,Fumadores,2011
66,20.616222222222223,-103.46205555555557,2011-04-24,Superficial,Nan,Fogatas,2011
67,20.66386111111111,-103.46919444444444,2011-04-25,Superficial,Nan,Fumadores,2011
68,20.731277777777777,-103.60319444444444,2011-04-25,Superficial,Nan,Fumadores,2011
69,20.72394444444444,-103.5653611111111,2011-04-26,Superficial,Nan,Fumadores,2011
70,20.710166666666666,-103.57655555555556,2011-04-26,Superficial,Nan,Fogatas,2011
71,20.649277777777776,-103.47375,2011-04-27,Superficial,Nan,Fogatas,2011
72,20.725527777777778,-103.57677777777778,2011-05-11,Superficial,Nan,Actividades Agropecuarias,2011
73,20.717527777777775,-103.52522222222223,2011-05-19,Superficial,Nan,Quema De Basureros,2011
74,20.729777777777777,-103.57225,2011-05-26,Superficial,Nan,Fumadores,2011
75,20.723277777777778,-103.54644444444445,2011-05-22,Superficial,Nan,Quema De Basureros,2011
76,20.716277777777776,-103.4821388888889,2011-06-06,Superficial,Nan,Actividades Agropecuarias,2011
77,20.72322222222222,-103.50361111111111,2011-06-08,Superficial,Nan,Actividades Agropecuarias,2011
78,20.71736111111111,-103.56130555555555,2011-06-18,Superficial,Nan,Actividades Agropecuarias,2011
79,20.649277777777776,-103.47375,2012-01-02,0,Minimo,Fumadores,2012
80,20.724999999999998,-103.55972222222222,2012-01-04,0,Minimo,Fumadores,2012
81,20.564444444444444,-103.58305555555555,2012-01-08,0,Minimo,Fumadores,2012
82,20.648888888888887,-103.46722222222222,2012-01-20,Superficial,Minimo,Fumadores,2012
83,20.697777777777777,-103.47694444444444,2012-01-21,Superficial,Minimo,Quema De Basureros,2012
84,20.649472222222222,-103.46913888888889,2012-01-22,Superficial,Minimo,Fumadores,2012
85,20.709722222222222,-103.56833333333333,2012-01-11,Superficial,Minimo,Quema De Basureros,2012
86,20.702305555555554,-103.58641666666666,2012-01-26,Superficial,Minimo,Quema De Basureros,2012
87,20.68138888888889,-103.66694444444445,2012-01-27,Superficial,Minimo,Actividades Agropecuarias,2012
88,20.707361111111112,-103.54347222222222,2012-02-06,Superficial,Minimo,Fumadores,2012
89,20.69761111111111,-103.57158333333334,2012-02-06,Superficial,Minimo,Fogatas,2012
90,20.573055555555555,-103.45555555555556,2012-02-28,Superficial,Minimo,Quema De Basureros,2012
91,20.618972222222222,-103.46575,2012-03-09,Superficial,Minimo,Fumadores,2012
92,20.639527777777776,-103.48269444444445,2012-03-10,Superficial,Minimo,Quema De Basureros,2012
93,20.71944444444444,-103.61861111111111,2012-03-09,Superficial,Minimo,Limpia De Derecho De Vía,2012
94,20.71944444444444,-103.61861111111111,2012-03-09,Superficial,Minimo,Limpia De Derecho De Vía,2012
95,20.72897222222222,-103.56738888888889,2012-03-15,Superficial,Minimo,Actividades Agropecuarias,2012
96,20.7275,-103.61666666666666,2012-03-15,Superficial,Minimo,Quema De Basureros,2012
97,20.69475,-103.48225000000001,2012-03-17,Superficial,Minimo,Quema De Basureros,2012
98,20.71722222222222,-103.56349999999999,2012-03-21,Superficial,Minimo,Fumadores,2012
99,20.71722222222222,-103.57194444444444,2012-03-26,Superficial,Minimo,Fumadores,2012
100,20.71736111111111,-103.56363888888889,2012-03-29,Superficial,Minimo,Quema De Basureros,2012
101,20.716666666666665,-103.60944444444443,2012-03-30,Superficial,Minimo,Actividades Agropecuarias,2012
102,20.579444444444444,-103.46166666666667,2012-04-01,Superficial,Minimo,Fumadores,2012
103,20.71886111111111,-103.60924999999999,2012-04-01,Superficial,Minimo,Actividades Agropecuarias,2012
104,20.68861111111111,-103.59833333333333,2012-04-01,Superficial,Minimo,Fogatas,2012
105,20.648611111111112,-103.68388888888889,2012-04-02,Superficial,Minimo,Quema De Basureros,2012
106,20.701555555555554,-103.57619444444444,2012-04-08,Superficial,Minimo,Fogatas,2012
107,20.704444444444444,-103.58749999999999,2012-04-09,Superficial,Minimo,Fogatas,2012
108,20.704444444444444,-103.58749999999999,2012-04-11,Superficial,Minimo,Fogatas,2012
109,20.713416666666667,-103.57408333333333,2012-04-14,Superficial,Minimo,Fumadores,2012
110,20.72083333333333,-103.55194444444444,2012-04-16,Superficial,Minimo,Fumadores,2012
111,20.649416666666667,-103.47380555555556,2012-04-16,Superficial,Minimo,Fumadores,2012
112,20.72111111111111,-103.53888888888889,2012-04-16,Superficial,Minimo,Fumadores,2012
113,20.720888888888886,-103.55277777777778,2012-04-17,Superficial,Minimo,Fumadores,2012
114,20.72111111111111,-103.6261111111111,2012-04-17,Superficial,Minimo,Fumadores,2012
115,20.664166666666667,-103.46861111111112,2012-04-17,Superficial,Minimo,Fumadores,2012
116,20.650366666666667,-103.48937777777778,2012-04-21,Mixto,Moderado,Quema De Basureros,2012
117,20.620555555555555,-103.46972222222223,2012-04-30,Superficial,Minimo,Fumadores,2012
118,20.620555555555555,-103.46972222222223,2012-05-01,Superficial,Minimo,Fumadores,2012
119,20.619444444444444,-103.46222222222222,2012-05-01,Superficial,Minimo,Fumadores,2012
